Area Code,Year Code,Value
53,2010,13269
53,2011,13500
53,2012,14000
53,2013,14193
53,2014,14417
53,2015,14546
53,2016,14746
53,2017,14981
53,2018,15216
53,2019,15451
18,1961,16000
18,1962,16500
18,1963,17000
18,1964,17500
18,1965,18000
18,1966,18500
18,1967,19000
18,1968,19500
18,1969,20000
18,1970,20500
18,1971,21000
18,1972,21500
18,1973,22000
18,1974,22500
18,1975,23000
18,1976,23500
18,1977,24000
18,1978,25000
18,1979,25200
18,1980,25400
18,1981,25600
18,1982,26800
18,1983,28000
18,1984,38672
18,1985,26000
18,1986,27000
18,1987,53100
18,1988,54000
18,1989,55000
18,1990,57700
18,1991,57800
18,1992,57900
18,1993,58000
18,1994,52139
18,1995,50090
18,1996,46724
18,1997,44503
18,1998,40590
18,1999,70330
18,2000,60956
18,2001,63137
18,2002,67737
18,2003,66700
18,2004,67915
18,2005,70188
18,2006,68529
18,2007,72319
18,2008,38775
18,2009,56407
18,2010,71298
18,2011,83609
18,2012,68501
18,2013,67069
18,2014,57593
18,2015,31270
18,2016,56319
18,2017,41334
18,2018,38846
18,2019,38849
19,1961,70000
19,1962,73000
19,1963,75000
19,1964,76000
19,1965,80000
19,1966,82100
19,1967,84800
19,1968,87500
19,1969,72880
19,1970,82900
19,1971,91320
19,1972,96210
19,1973,100430
19,1974,107240
19,1975,111300
19,1976,119500
19,1977,124700
19,1978,137810
19,1979,149700
19,1980,176635
19,1981,177175
19,1984,151167
19,1985,149452
19,1986,154082
19,2004,154446
19,2005,157652
19,2006,161801
19,2007,165568
19,2008,168593
80,1992,65
80,1993,40
80,1994,50
80,1995,65
80,1996,50
80,1997,57
80,1998,70
80,1999,87
80,2000,101
80,2001,120
80,2002,123
80,2003,124
80,2004,1529
80,2005,1438
80,2006,1340
80,2007,776
80,2008,144
80,2009,147
80,2010,168
80,2011,159
80,2012,148
80,2013,175
80,2014,190
80,2015,197
80,2016,205
80,2017,145
80,2018,194
80,2019,225
20,1961,600
20,1962,600
20,1963,600
20,1964,583
20,1965,671
20,1966,671
20,1967,671
20,1968,671
20,1969,218
20,1970,218
20,1971,250
20,1972,250
20,1973,250
20,1974,250
20,1975,300
20,1976,350
20,1977,400
20,1978,450
20,1979,450
20,1980,450
20,1981,450
20,1982,500
20,1983,500
20,1984,500
20,1985,500
20,1986,500
20,1987,500
20,1988,500
20,1989,500
20,1990,545
20,1991,516
20,1992,525
20,1993,533
20,1994,542
20,1995,550
20,1996,540
20,1997,508
20,1998,400
20,1999,500
20,2000,600
20,2001,582
20,2002,584
20,2003,587
20,2004,592
20,2005,600
20,2006,678
20,2007,980
20,2008,850
20,2009,500
20,2010,649
20,2011,600
20,2012,600
20,2013,700
20,2014,674
20,2015,842
20,2016,1947
20,2017,3334
20,2018,3914
20,2019,4005
26,1961,420
26,1962,420
26,1963,480
26,1964,480
26,1965,480
26,1966,475
26,1967,480
26,1968,480
26,1969,490
26,1970,540
26,1971,576
26,1972,440
26,1973,427
26,1974,400
26,1975,400
26,1976,390
26,1977,355
26,1978,360
26,1979,360
26,1980,302
26,1981,320
26,1982,314
26,1983,297
26,1984,310
26,1985,325
26,1986,315
26,1987,310
26,1988,300
26,1989,295
26,1990,296
26,1991,280
26,1992,272
26,1993,292
26,1994,269
26,1995,240
26,1996,267
26,1997,275
26,1998,294
26,1999,290
26,2000,327
26,2001,360
26,2002,365
26,2003,390
26,2004,404
26,2005,411
26,2006,421
26,2007,434
26,2008,446
26,2009,457
26,2010,473
26,2011,472
26,2012,482
26,2013,484
26,2014,491
26,2015,507
26,2016,507
26,2017,514
26,2018,521
26,2019,527
27,2018,0
27,2019,0
233,1977,200
233,1978,200
233,1979,200
233,1980,200
233,1981,200
233,1982,400
233,1983,400
233,1984,650
233,1985,750
233,1986,760
233,1987,770
233,1988,780
233,1989,870
233,1990,1041
233,1991,1091
233,1992,1110
233,1993,1121
233,1994,1129
233,1995,1141
233,1996,1152
233,1997,1162
233,1998,1171
233,1999,1231
233,2000,1216
233,2001,1220
233,2002,1228
233,2003,1238
233,2004,1242
233,2005,1252
233,2006,1192
233,2007,1340
233,2008,1353
233,2009,1363
233,2010,1390
233,2011,1405
233,2012,1450
233,2013,1462
233,2014,1456
233,2015,1474
233,2016,1491
233,2017,1506
233,2018,1522
233,2019,1538
115,1961,53000
115,1962,35000
115,1963,46000
115,1964,50000
115,1965,55000
115,1966,56000
115,1967,38000
115,1968,35000
115,1969,47000
115,1970,47000
115,1971,44800
115,1972,39380
115,1973,38500
115,1974,36300
115,1975,33200
115,1976,34950
115,1977,34690
115,1978,30290
115,1979,21620
115,1980,23740
115,1981,24650
115,1982,26900
115,1983,32200
115,1984,35270
115,1985,38550
