Area Code,Year Code,Value
96,1963,29260
96,1964,18688
96,1965,19600
96,1966,11760
96,1967,11000
96,1968,9800
96,1969,7100
96,1970,2038
96,1971,1615
96,1972,1535
96,1973,1390
96,1974,2097
96,1975,1600
96,1976,742
96,1977,1195
96,1978,530
96,1979,414
96,1980,418
96,1981,360
96,1982,400
96,1983,410
96,1984,420
96,1985,400
96,1986,300
96,1987,275
96,1988,360
96,1989,360
96,1990,300
96,1991,280
96,1992,223
96,1993,200
96,1994,117
96,1995,128
96,1996,135
96,1997,140
96,1998,100
96,1999,117
96,2000,93
96,2001,83
96,2002,97
96,2003,89
96,2004,92
96,2005,83
96,2006,85
96,2007,75
96,2008,65
96,2009,55
96,2010,58
96,2011,60
96,2012,65
96,2013,68
96,2014,68
96,2015,59
96,2016,61
96,2017,60
96,2018,58
96,2019,58
214,2004,175421
45,1961,7000
45,1962,7000
45,1963,8000
45,1964,9000
45,1965,10000
45,1966,11000
45,1967,10000
45,1968,11000
45,1969,10000
45,1970,10000
45,1971,12000
45,1972,12100
45,1973,12200
45,1974,12600
45,1975,13000
45,1976,13400
45,1977,14000
45,1978,14000
45,1979,15000
45,1980,15000
45,1981,15000
45,1982,15000
45,1983,15000
45,1984,10000
45,1985,10000
45,1986,9700
45,1987,15000
45,1988,13600
45,1989,13422
45,1990,4200
45,1991,4400
45,1992,4540
45,1993,4620
45,1994,4700
45,1995,4789
45,1996,4890
45,1997,4890
45,1998,5043
45,1999,5141
45,2000,5239
45,2001,5337
45,2002,5434
45,2003,5500
45,2004,5682
45,2005,5840
45,2006,6000
45,2007,6175
45,2008,6342
45,2009,6503
45,2010,6657
45,2011,6802
45,2012,6982
45,2013,6992
45,2014,7125
45,2015,7383
45,2016,7543
45,2017,7695
45,2018,7848
45,2019,8001
46,1961,6000
46,1962,7000
46,1963,7000
46,1964,8000
46,1965,8000
46,1966,9000
46,1967,9000
46,1968,10000
46,1969,10000
46,1970,10000
46,1971,11000
46,1972,11000
46,1973,12000
46,1974,12000
46,1975,12220
46,1976,12350
46,1977,12481
46,1978,12100
46,1979,12500
46,1980,12500
46,1981,12500
46,1982,12500
46,1983,12500
46,1984,12000
46,1985,12000
46,1986,12000
46,1987,12000
46,1988,12000
46,1989,11500
46,1990,11511
46,1991,10449
46,1992,11137
46,1993,11000
46,1994,10796
46,1995,10624
46,1996,10500
46,1997,10366
46,1998,10253
46,1999,9000
46,2000,8000
46,2001,7000
46,2002,5429
46,2003,6000
46,2004,6134
46,2005,5995
46,2006,5914
46,2007,5800
46,2008,6000
46,2009,6853
46,2010,7700
46,2011,8087
46,2012,8500
46,2013,8550
46,2014,8568
46,2015,8763
46,2016,8969
46,2017,9113
